X Y Z mgl vp cluster_5 cluster_6 cluster_6homog cluster_7
164168.015625 2322034.000000 23.167847 302.007294 510.447876 1.000000 1.000000 2.000000 1.000000
164167.937500 2322034.500000 23.167847 301.863800 488.148254 1.000000 1.000000 2.000000 1.000000
164168.109375 2322033.250000 23.167847 301.462006 539.642883 1.000000 1.000000 2.000000 1.000000
164168.187500 2322032.750000 23.167847 300.916748 559.481445 1.000000 1.000000 2.000000 1.000000
164167.843750 2322035.000000 23.167847 300.914459 482.696106 1.000000 1.000000 2.000000 1.000000
164168.281250 2322032.000000 23.167847 300.371460 567.589417 1.000000 1.000000 2.000000 1.000000
164168.359375 2322031.500000 23.167847 299.826202 581.869934 1.000000 1.000000 2.000000 1.000000
164168.437500 2322031.000000 23.167847 299.280914 613.132751 1.000000 1.000000 2.000000 1.000000
164168.531250 2322030.250000 23.167847 298.735657 651.790161 1.000000 1.000000 2.000000 1.000000
164168.609375 2322029.750000 23.167847 298.190369 681.156311 1.000000 1.000000 2.000000 1.000000
164166.609375 2322044.750000 22.561769 338.218964 486.332153 1.000000 1.000000 2.000000 1.000000
164166.687500 2322044.250000 22.561769 335.666351 482.644562 1.000000 1.000000 2.000000 1.000000
164166.765625 2322043.500000 22.561769 333.533600 492.006836 1.000000 1.000000 2.000000 1.000000
164166.828125 2322043.000000 22.561769 331.400848 506.873138 1.000000 1.000000 2.000000 1.000000
164167.765625 2322035.750000 22.561769 309.306030 554.969055 1.000000 1.000000 2.000000 1.000000
164167.687500 2322036.250000 22.561769 301.070831 547.826416 1.000000 1.000000 2.000000 1.000000
164166.906250 2322042.250000 22.561769 299.487518 514.353882 1.000000 1.000000 2.000000 1.000000
164168.015625 2322034.000000 22.561769 296.063782 586.938171 1.000000 1.000000 2.000000 1.000000
164167.937500 2322034.500000 22.561769 295.920288 579.457825 1.000000 1.000000 2.000000 1.000000
164168.109375 2322033.250000 22.561769 295.518494 594.068909 1.000000 1.000000 2.000000 1.000000
164168.187500 2322032.750000 22.561769 294.973236 613.253845 1.000000 1.000000 2.000000 1.000000
164167.843750 2322035.000000 22.561769 294.970947 566.957275 1.000000 1.000000 2.000000 1.000000
164168.281250 2322032.000000 22.561769 294.427948 644.651489 1.000000 1.000000 2.000000 1.000000
164168.359375 2322031.500000 22.561769 293.882690 672.750183 1.000000 1.000000 2.000000 1.000000
164168.437500 2322031.000000 22.561769 293.337402 688.124268 1.000000 1.000000 2.000000 1.000000
164167.593750 2322036.750000 22.561769 292.835602 544.089294 1.000000 1.000000 2.000000 1.000000
164168.531250 2322030.250000 22.561769 292.792114 700.736572 1.000000 1.000000 2.000000 1.000000
164168.609375 2322029.750000 22.561769 292.246857 722.339539 1.000000 1.000000 2.000000 1.000000
164167.515625 2322037.500000 22.561769 284.600403 539.564514 1.000000 1.000000 2.000000 1.000000
